SRG,MCP,Version
field_1000_j,editLine,Alpha 1.2.6
field_1002_h,entitySign,Alpha 1.2.6
field_1003_b,mc,Alpha 1.2.6
field_1004_a,field_1004_a,Alpha 1.2.6
field_1005_e,field_1005_e,Alpha 1.2.6
field_1006_d,field_1006_d,Alpha 1.2.6
field_1007_c,field_1007_c,Alpha 1.2.6
field_1008_b,y,Alpha 1.2.6
field_1009_a,x,Alpha 1.2.6
field_1010_d,updateTime,Alpha 1.2.6
field_1011_c,z,Alpha 1.2.6
field_1012_M,field_1012_M,Alpha 1.2.6
field_1016_I,nbtCompoundPlayer,Alpha 1.2.6
field_1017_H,chunkProvider,Alpha 1.2.6
field_1019_F,field_1019_F,Alpha 1.2.6
field_1024_A,field_1024_A,Alpha 1.2.6
field_1026_y,multiplayerWorld,Alpha 1.2.6
field_1029_v,sizeOnDisk,Alpha 1.2.6
field_1030_u,randomSeed,Alpha 1.2.6
field_1033_r,field_1033_r,Alpha 1.2.6
field_1034_q,spawnZ,Alpha 1.2.6
field_1036_o,spawnX,Alpha 1.2.6
field_1037_n,rand,Alpha 1.2.6
field_1039_l,difficultySetting,Alpha 1.2.6
field_1040_k,playerEntities,Alpha 1.2.6
field_1043_h,field_1043_h,Alpha 1.2.6
field_1046_e,skylightSubtracted,Alpha 1.2.6
field_1048_c,worldTime,Alpha 1.2.6
field_1049_b,loadedTileEntityList,Alpha 1.2.6
field_1050_a,loadedEntityList,Alpha 1.2.6
field_1051_z,field_1051_z,Alpha 1.2.6
field_1052_A,sendQueue,Alpha 1.2.6
field_1053_F,field_1053_F,Alpha 1.2.6
field_1054_E,field_1054_E,Alpha 1.2.6
field_1055_D,field_1055_D,Alpha 1.2.6
field_1056_C,scheduledTickSet,Alpha 1.2.6
field_1057_z,field_1057_z,Alpha 1.2.6
field_1058_B,scheduledTickTreeSet,Alpha 1.2.6
field_1059_b,field_1059_b,Alpha 1.2.6
field_1060_a,field_1060_a,Alpha 1.2.6
field_1061_d,worldObj,Alpha 1.2.6
field_1062_c,field_1062_c,Alpha 1.2.6
field_1063_a,netManager,Alpha 1.2.6
field_1064_b,field_1064_b,Alpha 1.2.6
field_1065_a,mc,Alpha 1.2.6
field_1068_i,field_1068_i,Alpha 1.2.6
field_1069_h,field_1069_h,Alpha 1.2.6
field_1070_g,field_1070_g,Alpha 1.2.6
field_1071_f,field_1071_f,Alpha 1.2.6
field_1072_e,field_1072_e,Alpha 1.2.6
field_1073_d,field_1073_d,Alpha 1.2.6
field_1074_c,field_1074_c,Alpha 1.2.6
field_1075_l,field_1075_l,Alpha 1.2.6
field_1080_g,field_1080_g,Alpha 1.2.6
field_1085_a,netManager,Alpha 1.2.6
field_1086_a,netManager,Alpha 1.2.6
field_1087_a,key,Alpha 1.2.6
field_1088_a,shortValue,Alpha 1.2.6
field_1089_a,doubleValue,Alpha 1.2.6
field_1090_b,tagType,Alpha 1.2.6
field_1091_a,tagList,Alpha 1.2.6
field_1092_a,byteValue,Alpha 1.2.6
field_1093_a,intValue,Alpha 1.2.6
field_1094_a,tagMap,Alpha 1.2.6
field_1095_a,longValue,Alpha 1.2.6
field_1096_a,byteArray,Alpha 1.2.6
field_1097_a,floatValue,Alpha 1.2.6
field_1098_a,stringValue,Alpha 1.2.6
field_1099_b,field_1099_b,Alpha 1.2.6
field_1100_a,field_1100_a,Alpha 1.2.6
field_1101_b,hostName,Alpha 1.2.6
field_1102_a,mc,Alpha 1.2.6
field_1103_d,connectingGui,Alpha 1.2.6
field_1104_c,port,Alpha 1.2.6
field_1105_b,valueEntry,Alpha 1.2.6
field_1106_a,hashEntry,Alpha 1.2.6
field_1107_d,slotHash,Alpha 1.2.6
field_1108_c,nextEntry,Alpha 1.2.6
field_1109_a,data,Alpha 1.2.6
field_1110_b,y,Alpha 1.2.6
field_1111_a,x,Alpha 1.2.6
field_1112_c,z,Alpha 1.2.6
field_1113_b,field_1113_b,Alpha 1.2.6
field_1114_a,field_1114_a,Alpha 1.2.6
field_1115_e,field_1115_e,Alpha 1.2.6
field_1116_d,field_1116_d,Alpha 1.2.6
field_1117_c,field_1117_c,Alpha 1.2.6
field_1118_b,inventory,Alpha 1.2.6
field_1119_a,slotIndex,Alpha 1.2.6
field_1120_f,yPos,Alpha 1.2.6
field_1121_e,xPos,Alpha 1.2.6
field_1122_c,guiHandler,Alpha 1.2.6
field_1123_d,field_1123_d,Alpha 1.2.6
field_1124_c,field_1124_c,Alpha 1.2.6
field_1125_c,craftMatrix,Alpha 1.2.6
field_1126_b,field_1126_b,Alpha 1.2.6
field_1127_a,field_1127_a,Alpha 1.2.6
field_1128_f,field_1128_f,Alpha 1.2.6
field_1129_e,field_1129_e,Alpha 1.2.6
field_1130_d,field_1130_d,Alpha 1.2.6
field_1131_c,field_1131_c,Alpha 1.2.6
field_1132_h,field_1132_h,Alpha 1.2.6
field_1133_g,field_1133_g,Alpha 1.2.6
field_1134_k,field_1134_k,Alpha 1.2.6
field_1135_j,field_1135_j,Alpha 1.2.6
field_1136_i,field_1136_i,Alpha 1.2.6
field_1137_h,field_1137_h,Alpha 1.2.6
field_1138_g,field_1138_g,Alpha 1.2.6
field_1139_k,field_1139_k,Alpha 1.2.6
field_1140_j,field_1140_j,Alpha 1.2.6
field_1141_i,field_1141_i,Alpha 1.2.6
field_1142_h,field_1142_h,Alpha 1.2.6
field_1143_g,field_1143_g,Alpha 1.2.6
field_1144_j,field_1144_j,Alpha 1.2.6
field_1145_i,field_1145_i,Alpha 1.2.6
field_1146_h,field_1146_h,Alpha 1.2.6
field_1147_g,field_1147_g,Alpha 1.2.6
field_1154_k,tickCounter,Alpha 1.2.6
field_1155_j,field_1155_j,Alpha 1.2.6
field_1156_i,field_1156_i,Alpha 1.2.6
field_1157_h,field_1157_h,Alpha 1.2.6
field_1158_g,field_1158_g,Alpha 1.2.6
field_1159_b,worldObj,Alpha 1.2.6
field_1160_a,field_1160_a,Alpha 1.2.6
field_1161_g,field_1161_g,Alpha 1.2.6
field_1162_f,field_1162_f,Alpha 1.2.6
field_1163_e,field_1163_e,Alpha 1.2.6
field_1164_d,field_1164_d,Alpha 1.2.6
field_1165_c,field_1165_c,Alpha 1.2.6
field_1166_b,blockX,Alpha 1.2.6
field_1167_a,typeOfHit,Alpha 1.2.6
field_1168_g,entityHit,Alpha 1.2.6
field_1169_f,hitVec,Alpha 1.2.6
field_1170_e,sideHit,Alpha 1.2.6
field_1171_d,blockZ,Alpha 1.2.6
field_1172_c,blockY,Alpha 1.2.6
field_1173_b,field_1173_b,Alpha 1.2.6
field_1174_a,field_1174_a,Alpha 1.2.6
field_1175_e,field_1175_e,Alpha 1.2.6
field_1176_d,field_1176_d,Alpha 1.2.6
field_1177_c,field_1177_c,Alpha 1.2.6
field_1178_g,field_1178_g,Alpha 1.2.6
field_1179_f,field_1179_f,Alpha 1.2.6
field_1180_b,field_1180_b,Alpha 1.2.6
field_1181_a,field_1181_a,Alpha 1.2.6
field_1182_g,field_1182_g,Alpha 1.2.6
field_1183_f,field_1183_f,Alpha 1.2.6
field_1184_e,field_1184_e,Alpha 1.2.6
