SRG,MCP,Version
$VALUES,$VALUES,Beta 1.7.3
ADVANCED_OPENGL,ADVANCED_OPENGL,Release 1.0.0
Alban,Alban,Release 1.0.0
all,all,Release 1.0.0
AMBIENT_OCCLUSION,AMBIENT_OCCLUSION,Release 1.0.0
ANAGLYPH,ANAGLYPH,Release 1.0.0
armor,armor,Release 1.0.0
armor_feet,armor_feet,Release 1.0.0
armor_head,armor_head,Release 1.0.0
armor_legs,armor_legs,Release 1.0.0
armor_torso,armor_torso,Release 1.0.0
ARRAY,ARRAY,Release 1.0.0
ARTHROPOD,ARTHROPOD,Release 1.0.0
Aztec,Aztec,Release 1.0.0
Aztec2,Aztec2,Release 1.0.0
block,block,Release 1.0.0
Bomb,Bomb,Release 1.0.0
bow,bow,Release 1.0.0
BurningSkull,BurningSkull,Release 1.0.0
Bust,Bust,Release 1.0.0
CHAIN,CHAIN,Release 1.0.0
CLOTH,CLOTH,Release 1.0.0
common,common,Release 1.0.0
Courbet,Courbet,Release 1.0.0
creature,creature,Release 1.0.0
Creebet,Creebet,Release 1.0.0
DIAMOND,DIAMOND,Release 1.0.0
DIFFICULTY,DIFFICULTY,Release 1.0.0
digger,digger,Release 1.0.0
DonkeyKong,DonkeyKong,Release 1.0.0
drink,drink,Release 1.0.0
eat,eat,Release 1.0.0
EMERALD,EMERALD,Release 1.0.0
ENTITY,ENTITY,Release 1.0.0
epic,epic,Release 1.0.0
everything,everything,Release 1.0.0
field_1000_j,editLine,Release 1.6.4
field_100001_o,doneBtn,Release 1.6.4
field_100002_d,cancelBtn,Release 1.6.4
field_100003_c,doneBtn,Release 1.6.4
field_100010_b,iconArray,Release 1.6.4
field_100013_f,isPotionDurationMax,Release 1.6.4
field_1002_h,entitySign,Release 1.6.4
field_1003_b,mc,Release 1.6.4
field_1004_a,field_1004_a,Release 1.0.0
field_1005_e,field_1005_e,Release 1.0.0
field_1006_d,field_1006_d,Release 1.0.0
field_1007_c,currentlyDisplayedText,Release 1.6.4
field_1008_b,y,Release 1.6.4
field_1009_a,x,Release 1.6.4
field_1010_d,updateTime,Release 1.6.4
field_1011_c,z,Release 1.6.4
field_1012_M,entitiesWithinAABBExcludingEntity,Release 1.4.7
field_1016_I,nbtCompoundPlayer,Beta 1.2_02
field_1017_H,chunkProvider,Release 1.6.4
field_1019_F,cloudColour,Release 1.6.4
field_102009_f,slots_sides,Release 1.6.4
field_102010_d,slots_top,Release 1.6.4
field_102011_e,slots_bottom,Release 1.6.4
field_1024_A,unloadedEntityList,Release 1.6.4
field_1026_y,isRemote,Release 1.6.4
field_1029_v,sizeOnDisk,Beta 1.2_02
field_1030_u,randomSeed,Beta 1.2_02
field_1033_r,isNewWorld,Release 1.2.5
field_1034_q,spawnZ,Beta 1.2_02
field_1036_o,spawnX,Beta 1.2_02
field_1037_n,rand,Release 1.6.4
field_1039_l,difficultySetting,Release 1.6.4
field_1040_k,playerEntities,Release 1.6.4
field_104003_g,isAggressive,Release 1.6.4
field_104057_T,isGamemodeForced,Release 1.6.4
field_104058_d,theMainMenu,Release 1.6.4
field_1043_h,editingBlocks,Release 1.4.7
field_1046_e,skylightSubtracted,Release 1.6.4
field_1048_c,worldTime,Beta 1.2_02
field_1049_b,loadedTileEntityList,Release 1.6.4
field_1050_a,loadedEntityList,Release 1.6.4
field_1051_z,lightingToUpdate,Beta 1.7.3
field_1052_A,sendQueue,Release 1.6.4
field_1053_F,entitySpawnQueue,Release 1.6.4
field_1054_E,lockTimestamp,Release 1.2.5
field_1055_D,entityHashSet,Release 1.6.4
field_1056_C,scheduledTickSet,Release 1.2.5
field_1057_z,blocksToReceive,Release 1.2.5
field_1058_B,scheduledTickTreeSet,Release 1.2.5
field_1059_b,chunkZ,Release 1.6.4
field_1060_a,chunkX,Release 1.6.4
field_1061_d,worldObj,Release 1.6.4
field_1062_c,chunkArray,Release 1.6.4
field_1063_a,netManager,Release 1.2.5
field_1064_b,isInTestMode,Release 1.2.5
field_1065_a,mc,Release 1.2.5
field_1068_i,blockHitWait,Release 1.2.5
field_1069_h,blockDestroySoundCounter,Release 1.2.5
field_1070_g,prevBlockDamage,Release 1.2.5
field_1071_f,curBlockDamage,Release 1.2.5
field_1072_e,curBlockZ,Release 1.2.5
field_1073_d,curBlockY,Release 1.2.5
field_1074_c,curBlockX,Release 1.2.5
field_1075_l,currentPlayerItem,Release 1.6.4
field_1080_g,prevBlockDamageMP,Release 1.4.7
field_1085_a,netManager,Release 1.2.5
field_1086_a,netManager,Release 1.2.5
field_1087_a,name,Release 1.6.4
field_1088_a,data,Release 1.6.4
field_1089_a,data,Release 1.6.4
field_1090_b,tagType,Release 1.6.4
field_1091_a,tagList,Release 1.6.4
field_1092_a,data,Release 1.6.4
field_1093_a,data,Release 1.6.4
field_1094_a,tagMap,Release 1.6.4
field_1095_a,data,Release 1.6.4
field_1096_a,byteArray,Release 1.6.4
field_1097_a,data,Release 1.6.4
field_1098_a,data,Release 1.6.4
field_1099_b,recipeItems,Release 1.6.4
field_1100_a,recipePatterns,Release 1.6.4
field_1101_b,hostName,Release 1.0.0
field_110150_bn,lastAttacker,Release 1.6.4
field_110152_bk,newPosZ,Release 1.6.4
field_110153_bc,lastDamage,Release 1.6.4
field_110155_d,attributeMap,Release 1.6.4
field_110156_b,sprintingSpeedBoostModifierUUID,Release 1.6.4
field_110157_c,sprintingSpeedBoostModifier,Release 1.6.4
field_110158_av,swingProgressInt,Release 1.6.4
field_110168_bw,leashedToEntity,Release 1.6.4
field_110169_bv,isLeashed,Release 1.6.4
field_110187_bq,babySpeedBoostUUID,Release 1.6.4
field_110188_br,babySpeedBoostModifier,Release 1.6.4
field_110192_bp,attackingSpeedBoostModifierUUID,Release 1.6.4
field_110193_bq,attackingSpeedBoostModifier,Release 1.6.4
field_110194_bu,lastEntityToAttack,Release 1.6.4
field_1102_a,mc,Release 1.2.5
field_110268_bz,horseTextures,Release 1.6.4
field_110270_bw,horseArmorTextures,Release 1.6.4
field_110271_bv,horseJumpStrength,Release 1.6.4
field_110272_by,armorValues,Release 1.6.4
field_110274_bs,temper,Release 1.6.4
field_110275_br,horseJumping,Release 1.6.4
field_110276_bu,horseBreedingSelector,Release 1.6.4
field_110277_bt,jumpPower,Release 1.6.4
field_110281_bL,rearingAmount,Release 1.6.4
field_110282_bM,prevRearingAmount,Release 1.6.4
field_110283_bJ,headLean,Release 1.6.4
field_110284_bK,prevHeadLean,Release 1.6.4
field_110287_bN,mouthOpenness,Release 1.6.4
field_110288_bO,prevMouthOpenness,Release 1.6.4
field_110289_bD,eatingHaystackCounter,Release 1.6.4
field_110290_bE,openMouthCounter,Release 1.6.4
field_110291_bB,horseMarkingTextures,Release 1.6.4
field_110293_bH,hasReproduced,Release 1.6.4
field_110295_bF,jumpRearingCounter,Release 1.6.4
field_110296_bG,horseChest,Release 1.6.4
field_1103_d,connectingGui,Release 1.6.4
field_110312_d,locationSkin,Release 1.6.4
field_110313_e,locationCape,Release 1.6.4
field_110314_b,locationStevePng,Release 1.6.4
field_110315_c,downloadImageCape,Release 1.6.4
field_110316_a,downloadImageSkin,Release 1.6.4
field_110320_a,horseJumpPowerCounter,Release 1.6.4
field_110321_bQ,horseJumpPower,Release 1.6.4
field_110323_l,statIcons,Release 1.6.4
field_110324_m,icons,Release 1.6.4
field_110325_k,optionsBackground,Release 1.6.4
field_110328_d,pumpkinBlurTexPath,Release 1.6.4
field_110329_b,vignetteTexPath,Release 1.6.4
field_110330_c,widgetsTexPath,Release 1.6.4
field_110331_a,achievementTextures,Release 1.6.4
field_110332_a,buttonTextures,Release 1.6.4
field_110352_y,minecraftTitleTextures,Release 1.6.4
field_110353_x,splashTexts,Release 1.6.4
field_110362_a,minecraftLogoTexture,Release 1.6.4
field_1104_c,port,Release 1.6.4
field_110405_a,bookGuiTextures,Release 1.6.4
field_110406_y,achievementTextures,Release 1.6.4
field_110409_t,hopperGuiTextures,Release 1.6.4
field_110410_t,furnaceGuiTextures,Release 1.6.4
field_110414_t,horseGuiTextures,Release 1.6.4
field_110418_t,merchantGuiTextures,Release 1.6.4
field_110419_u,dispenserGuiTextures,Release 1.6.4
field_110420_t,brewingStandGuiTextures,Release 1.6.4
field_110422_t,craftingTableGuiTextures,Release 1.6.4
field_110425_B,enchantingTableGuiTextures,Release 1.6.4
field_110426_C,enchantingTableBookTextures,Release 1.6.4
field_110428_t,beaconGuiTextures,Release 1.6.4
field_110429_t,anvilGuiTextures,Release 1.6.4
field_110444_H,locationMojangPng,Release 1.6.4
field_110445_I,macDisplayModes,Release 1.6.4
field_110446_Y,fileAssets,Release 1.6.4
field_110447_Z,launchedVersion,Release 1.6.4
field_110448_aq,mcResourcePackRepository,Release 1.6.4
field_110449_ao,defaultResourcePacks,Release 1.6.4
field_110450_ap,mcDefaultResourcePack,Release 1.6.4
field_110451_am,mcResourceManager,Release 1.6.4
field_110452_an,metadataSerializer_,Release 1.6.4
field_110453_aa,proxy,Release 1.6.4
field_110456_c,serverProxy,Release 1.6.4
field_110463_b,packFormat,Release 1.6.4
field_110464_a,packDescription,Release 1.6.4
field_110465_b,charLefts,Release 1.6.4
field_110466_c,charSpacings,Release 1.6.4
field_110467_a,charWidths,Release 1.6.4
field_110475_d,frameTime,Release 1.6.4
field_110476_b,frameWidth,Release 1.6.4
field_110477_c,frameHeight,Release 1.6.4
field_110478_a,animationFrames,Release 1.6.4
field_110481_b,textureClamp,Release 1.6.4
field_110482_a,textureBlur,Release 1.6.4
field_110498_b,frameTime,Release 1.6.4
field_110499_a,frameIndex,Release 1.6.4
field_1105_b,valueEntry,Release 1.6.4
field_110506_b,gsonBuilder,Release 1.6.4
field_110507_c,gson,Release 1.6.4
field_110508_a,metadataSectionSerializerRegistry,Release 1.6.4
field_110520_f,locationTexturePackIcon,Release 1.6.4
field_110521_d,rePackMetadataSection,Release 1.6.4
field_110522_e,texturePackIcon,Release 1.6.4
field_110523_b,resourcePackFile,Release 1.6.4
field_110524_c,reResourcePack,Release 1.6.4
field_110525_a,reResourcePackRepository,Release 1.6.4
field_110529_f,mcmetaJsonChecked,Release 1.6.4
field_110530_g,mcmetaJson,Release 1.6.4
field_110531_d,mcmetaInputStream,Release 1.6.4
field_110532_e,srMetadataSerializer,Release 1.6.4
field_110533_b,srResourceLocation,Release 1.6.4
field_110534_c,resourceInputStream,Release 1.6.4
field_110535_a,mapMetadataSections,Release 1.6.4
field_110539_b,frmMetadataSerializer,Release 1.6.4
field_110540_a,resourcePacks,Release 1.6.4
field_110546_b,reloadListeners,Release 1.6.4
field_110547_c,rmMetadataSerializer,Release 1.6.4
field_110548_a,domainResourceManagers,Release 1.6.4
