SRG,MCP,Version
func_1000_a,addEntity,Release 1.6.4
func_100008_d,isDurationMax,Release 1.6.4
func_100009_j_,getFacing,Release 1.6.4
func_100011_g,getIsPotionDurationMax,Release 1.6.4
func_100012_b,setPotionDurationMax,Release 1.6.4
func_100015_a,isKeyDown,Release 1.6.4
func_1001_a,addTileEntity,Release 1.6.4
func_1002_d,getChunkBlockTileEntity,Release 1.6.4
func_1003_g,relightBlock,Release 1.6.4
func_1004_a,setChunkData,Release 1.0.0
func_1005_a,setChunkBlockTileEntity,Release 1.6.4
func_1006_f,setChunkModified,Release 1.6.4
func_1007_c,canBlockSeeTheSky,Release 1.6.4
func_1008_a,getBlockID,Release 1.6.4
func_1009_b,setBlockMetadata,Release 1.6.4
func_1010_a,setBlockIDWithMetadata,Release 1.6.4
func_1011_a,setLightValue,Release 1.6.4
func_1012_a,needsSaving,Release 1.6.4
func_1013_a,getEntitiesOfTypeWithinAAAB,Release 1.6.4
func_1014_a,func_1014_a,Release 1.0.0
func_1015_b,removeEntity,Release 1.6.4
func_1016_a,removeEntityAtIndex,Release 1.6.4
func_1017_a,isAtLocation,Release 1.6.4
func_1018_b,generateHeightMap,Release 1.6.4
func_1019_c,getBlockLightValue,Release 1.6.4
func_1020_f,checkSkylightNeighborHeight,Release 1.6.4
func_102007_a,canInsertItem,Release 1.6.4
func_102008_b,canExtractItem,Release 1.6.4
func_102012_a,insertStackFromInventory,Release 1.6.4
func_102013_b,canExtractItemFromInventory,Release 1.6.4
func_102015_a,canInsertItemToInventory,Release 1.6.4
func_102026_a,isBlockTopFacingSurfaceSolid,Release 1.6.4
func_102027_b,renderStandardBlockWithAmbientOcclusionPartial,Release 1.6.4
func_1021_b,getBlockMetadata,Release 1.6.4
func_1022_a,setBlockID,Release 1.4.7
func_1023_e,removeChunkBlockTileEntity,Release 1.6.4
func_1024_c,generateSkylightMap,Release 1.6.4
func_1025_a,getSavedLightValue,Release 1.6.4
func_1026_a,setRenderingContext,Beta 1.2_02
func_1028_a,hasSpecialRenderer,Release 1.6.4
func_1030_a,renderTileEntity,Release 1.6.4
func_1031_b,getSpecialRendererForEntity,Release 1.6.4
func_1032_a,renderTileEntityAt,Release 1.6.4
func_1033_a,sortBack,Release 1.6.4
func_1034_a,addPoint,Release 1.6.4
func_1035_a,changeDistance,Release 1.6.4
func_1036_b,dequeue,Release 1.6.4
func_1037_b,sortForward,Release 1.6.4
func_1038_a,clearPath,Release 1.6.4
func_1039_c,isPathEmpty,Release 1.6.4
func_1040_a,compareRecipes,Release 1.6.4
func_104002_bU,isNoDespawnRequired,Release 1.6.4
func_104055_i,setForceGamemode,Release 1.6.4
func_104056_am,getForceGamemode,Release 1.6.4
func_1041_b,saveOptions,Release 1.6.4
func_104112_b,saveExtraData,Release 1.6.4
func_104140_m,saveChunkData,Release 1.6.4
func_1042_a,setKeyBinding,Release 1.6.4
func_1043_a,getKeyBinding,Release 1.6.4
func_1045_b,setOptionValue,Release 1.6.4
func_1046_b,getOptionControlType,Alpha 1.2.6
func_1047_d,getOptionDisplayString,Release 1.6.4
func_1048_a,setOptionFloatValue,Release 1.6.4
func_1049_c,getOptionFloatValue,Alpha 1.2.6
func_1050_a,parseFloat,Release 1.6.4
func_1051_a,addRecipes,Release 1.6.4
func_1052_b,removeObject,Release 1.6.4
func_1053_a,insert,Release 1.6.4
func_1054_c,removeEntry,Release 1.6.4
func_1055_e,computeHash,Release 1.6.4
func_1056_d,getHash,Release 1.6.4
func_1057_a,lookup,Release 1.6.4
func_1058_a,clearMap,Release 1.6.4
func_1059_a,copyTo,Release 1.6.4
func_1060_f,grow,Release 1.6.4
func_1061_a,addKey,Release 1.6.4
func_1062_a,getSlotIndex,Release 1.6.4
func_1063_a,sortByDistanceToEntity,Release 1.6.4
func_1064_values,func_1064_values,Alpha 1.2.6
func_1065_b,refreshTextures,Release 1.4.7
func_1066_a,registerTextureFX,Release 1.4.7
func_1067_a,updateDynamicTextures,Release 1.4.7
func_1068_a,setupTexture,Release 1.4.7
func_1069_b,unwrapImageByColumns,Release 1.4.7
func_1070_a,getTexture,Release 1.4.7
func_1071_a,getTextureForDownloadableImage,Release 1.4.7
func_1072_a,averageColor,Beta 1.7.3
func_1073_b,releaseImageData,Release 1.4.7
func_1074_a,allocateAndSetupTexture,Release 1.4.7
func_1075_a,obtainImageData,Release 1.4.7
func_1076_b,bindTexture,Release 1.4.7
func_1077_b,alphaBlend,Release 1.2.5
func_1078_a,deleteTexture,Release 1.4.7
func_1079_a,createEntityByName,Release 1.6.4
func_1080_a,addMapping,Release 1.6.4
func_1081_a,createEntityFromNBT,Release 1.6.4
func_1082_a,getEntityID,Release 1.6.4
func_1083_b,getEntityString,Release 1.6.4
func_1084_a,createEntityByID,Release 1.6.4
func_1085_a,splitStack,Release 1.6.4
func_1086_a,writeToNBT,Release 1.6.4
func_1087_a,hitBlock,Beta 1.2_02
func_1088_b,getIconIndex,Release 1.6.4
func_1089_c,getMaxStackSize,Release 1.6.4
func_1090_a,useItem,Release 1.2.5
func_1091_a,getItem,Release 1.6.4
func_1092_a,hitEntity,Release 1.6.4
func_1093_a,useItemRightClick,Release 1.6.4
func_1094_d,getMaxDamage,Release 1.6.4
func_1095_a,getDamageVsEntity,Release 1.4.7
func_1096_b,readFromNBT,Release 1.6.4
func_1097_a,onItemDestroyedByUse,Release 1.2.5
func_1098_a,getStrVsBlock,Release 1.6.4
func_1099_b,canHarvestBlock,Release 1.6.4
func_1100_b,useItemOnEntity,Release 1.2.5
func_1101_b,damageItem,Beta 1.2_02
func_110123_P,onChunkLoad,Release 1.6.4
func_110124_au,getUniqueID,Release 1.6.4
func_110125_a,setParticleIcon,Release 1.6.4
func_110128_b,onBroken,Release 1.6.4
func_110130_b,getKnotForBlock,Release 1.6.4
func_110131_b,removeFrameFromMap,Release 1.6.4
func_110138_aP,getMaxHealth,Release 1.6.4
func_110139_bj,getAbsorptionAmount,Release 1.6.4
func_110140_aT,getAttributeMap,Release 1.6.4
func_110143_aJ,getHealth,Release 1.6.4
func_110144_aD,getLastAttacker,Release 1.6.4
func_110145_l,dismountEntity,Release 1.6.4
func_110147_ax,applyEntityAttributes,Release 1.6.4
func_110148_a,getEntityAttribute,Release 1.6.4
func_110149_m,setAbsorptionAmount,Release 1.6.4
func_110160_i,clearLeashed,Release 1.6.4
func_110161_a,onSpawnWithEgg,Release 1.6.4
func_110162_b,setLeashedToEntity,Release 1.6.4
func_110164_bC,allowLeashing,Release 1.6.4
func_110165_bF,recreateLeash,Release 1.6.4
func_110166_bE,getLeashedToEntity,Release 1.6.4
func_110167_bD,getLeashed,Release 1.6.4
func_110171_b,setHomeArea,Release 1.6.4
func_110172_bL,getHomePosition,Release 1.6.4
func_110175_bO,hasHome,Release 1.6.4
func_110177_bN,detachHome,Release 1.6.4
func_110195_a,addGrowth,Release 1.6.4
func_110198_t,increaseTemper,Release 1.6.4
func_110199_f,openGUI,Release 1.6.4
func_1102_e,copy,Release 1.6.4
func_110202_bQ,getHorseVariant,Release 1.6.4
func_110204_cc,isEatingHaystack,Release 1.6.4
func_110206_u,setJumpPower,Release 1.6.4
func_110207_m,setChested,Release 1.6.4
func_110208_b,setHorseWatchableBoolean,Release 1.6.4
func_110209_cd,isRearing,Release 1.6.4
func_110212_cp,getVariantTexturePaths,Release 1.6.4
func_110213_b,setOwnerName,Release 1.6.4
func_110214_p,setHorseType,Release 1.6.4
func_110215_cj,getHorseJumpStrength,Release 1.6.4
func_110216_r,spawnHorseParticles,Release 1.6.4
func_110217_cl,getAngrySoundName,Release 1.6.4
func_110218_cm,getMaxTemper,Release 1.6.4
func_110219_q,setRearing,Release 1.6.4
func_110220_cK,makeHorseRear,Release 1.6.4
func_110221_n,setHasReproduced,Release 1.6.4
func_110223_p,getRearingAmount,Release 1.6.4
func_110224_ci,dropChests,Release 1.6.4
