ID,Class
1003,net/minecraft/client/Minecraft
1022,net/minecraft/client/MinecraftApplet
1045,net/minecraft/isom/IsomPreviewApplet
1065,net/minecraft/src/Packet7UseEntity
1080,net/minecraft/src/MaterialLogic
1101,net/minecraft/src/CompressedStreamTools
1118,net/minecraft/src/ItemPickaxe
1136,net/minecraft/src/TextureFX
1157,net/minecraft/src/TextureCompassFX
1179,net/minecraft/src/RenderItem
1197,net/minecraft/src/ItemBucket
1211,net/minecraft/src/CanvasIsomPreview
1230,net/minecraft/src/IChunkLoader
1254,net/minecraft/src/WorldGenFlowers
1270,net/minecraft/src/EntityAnimals
1290,net/minecraft/src/SoundPoolEntry
1309,net/minecraft/src/EntityGhast
1330,net/minecraft/src/BlockRedstoneOre
1344,net/minecraft/src/Vec3D
1366,net/minecraft/src/BlockPressurePlate
1388,net/minecraft/src/Render
1407,net/minecraft/src/SlotCrafting
1426,net/minecraft/src/EntityCow
1443,net/minecraft/src/EntitySnowball
1463,net/minecraft/src/ItemSoup
1477,net/minecraft/src/PanelCrashReport
1499,net/minecraft/src/NoiseGenerator2
1520,net/minecraft/src/CraftingInventoryCB
1535,net/minecraft/src/GuiUnused
1558,net/minecraft/src/EntityFireball
1575,net/minecraft/src/PathPoint
1597,net/minecraft/src/TextureLavaFX
1611,net/minecraft/src/GuiGameOver
1632,net/minecraft/src/ItemBlock
1651,net/minecraft/src/IChunkProvider
1669,net/minecraft/src/EntitySpider
1687,net/minecraft/src/GuiOptions
1711,net/minecraft/src/SpawnerAnimals
1730,net/minecraft/src/EntityBubbleFX
1746,net/minecraft/src/StepSound
1763,net/minecraft/src/ItemFishingRod
1787,net/minecraft/src/RenderBlocks
1805,net/minecraft/src/TileEntityMobSpawner
1819,net/minecraft/src/OpenGlCapsChecker
1840,net/minecraft/src/ThreadDownloadResources
1860,net/minecraft/src/BlockRedstoneTorch
1881,net/minecraft/src/GuiScreen
1896,net/minecraft/src/EntityPlayerSP
1919,net/minecraft/src/BlockMobSpawner
1936,net/minecraft/src/NoiseGenerator
1956,net/minecraft/src/PathEntity
1976,net/minecraft/src/Packet22Collect
1995,net/minecraft/src/WorldGenLakes
2009,net/minecraft/src/WorldRenderer
2033,net/minecraft/src/EntitySheep
2052,net/minecraft/src/ItemSnowball
2069,net/minecraft/src/EffectRenderer
2087,net/minecraft/src/BlockChest
2109,net/minecraft/src/BlockLadder
2124,net/minecraft/src/ItemTool
2144,net/minecraft/src/ClippingHelper
2166,net/minecraft/src/CraftingRecipe
2184,net/minecraft/src/RenderPlayer
2205,net/minecraft/src/RenderPainting
2224,net/minecraft/src/ModelSheep1
2242,net/minecraft/src/EnumSkyBlock
2260,net/minecraft/src/Packet51MapChunk
2279,net/minecraft/src/ModelPig
2297,net/minecraft/src/ModelZombie
2316,net/minecraft/src/ThreadDownloadImageData
2332,net/minecraft/src/EntityPickupFX
2354,net/minecraft/src/BlockStone
2371,net/minecraft/src/AxisAlignedBB
2389,net/minecraft/src/WorldGenDungeons
2414,net/minecraft/src/Packet8UpdateHealth
2428,net/minecraft/src/Packet13PlayerLookMove
2450,net/minecraft/src/ChunkCache
2470,net/minecraft/src/GuiConnectFailed
2486,net/minecraft/src/ChunkProviderIso
2505,net/minecraft/src/ModelBoat
2524,net/minecraft/src/BlockObsidian
2543,net/minecraft/src/BlockPumpkin
2566,net/minecraft/src/World
2581,net/minecraft/src/IMobs
2603,net/minecraft/src/TexturePackBase
2621,net/minecraft/src/RenderBoat
2636,net/minecraft/src/EntityLavaFX
2660,net/minecraft/src/ModelBiped
2677,net/minecraft/src/BlockWorkbench
2697,net/minecraft/src/BlockGlass
2714,net/minecraft/src/WorldGenMinable
2734,net/minecraft/src/BlockJukeBox
2756,net/minecraft/src/EntitySkeleton
2774,net/minecraft/src/BiomeGenDesert
2791,net/minecraft/src/GuiMainMenu
2809,net/minecraft/src/GuiTexturePacks
2830,net/minecraft/src/MapGenBase
2845,net/minecraft/src/Pathfinder
2864,net/minecraft/src/WorldGenCactus
2888,net/minecraft/src/CanvasMojangLogo
2904,net/minecraft/src/EntityBoat
2925,net/minecraft/src/EntityCreeper
2940,net/minecraft/src/GuiChat
2961,net/minecraft/src/GLAllocation
2980,net/minecraft/src/WorldGenGlowStone1
2997,net/minecraft/src/GuiDownloadTerrain
3022,net/minecraft/src/Packet28EntityVelocity
3040,net/minecraft/src/BlockSand
3055,net/minecraft/src/Item
3078,net/minecraft/src/RenderFallingSand
3096,net/minecraft/src/Slot
3113,net/minecraft/src/BlockOreBlock
3132,net/minecraft/src/Session
3153,net/minecraft/src/EntityPlayer
3170,net/minecraft/src/RenderLiving
3187,net/minecraft/src/Packet15Place
3212,net/minecraft/src/EntityExplodeFX
3225,net/minecraft/src/EntityMobs
3248,net/minecraft/src/RecipesTools
3266,net/minecraft/src/BlockBookshelf
3286,net/minecraft/src/WorldChunkManagerHell
3302,net/minecraft/src/BlockSapling
3323,net/minecraft/src/Packet4UpdateTime
3342,net/minecraft/src/ModelCow
3363,net/minecraft/src/ScreenShotHelper
3381,net/minecraft/src/CraftingManager
3401,net/minecraft/src/EntityItem
3418,net/minecraft/src/NBTTagByteArray
3438,net/minecraft/src/Packet16BlockItemSwitch
3453,net/minecraft/src/GuiChest
3473,net/minecraft/src/SoundPool
3491,net/minecraft/src/TexturePortalFX
3513,net/minecraft/src/ItemDoor
3529,net/minecraft/src/ColorizerGrass
3552,net/minecraft/src/PositionTexureVertex
3567,net/minecraft/src/GuiContainer
3586,net/minecraft/src/ItemRedstone
3611,net/minecraft/src/TextureLavaFlowFX
3628,net/minecraft/src/RenderGlobal
3649,net/minecraft/src/Packet10Flying
3664,net/minecraft/src/RenderSnowball
3681,net/minecraft/src/EntityCreature
3700,net/minecraft/src/NBTBase
3721,net/minecraft/src/WorldGenBigTree
3744,net/minecraft/src/TexturePackList
3762,net/minecraft/src/ModelCreeper
3782,net/minecraft/src/EntityReddustFX
